Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/12/2020,2020,4,12,,15.6,,6.1,,10.9,,7.1,,0,,,,,,0,,,,1,,35,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/13/2020,2020,4,13,,14,,5,,9.5,,8.5,,0,,,,,,0,,,,26,,44,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/14/2020,2020,4,14,,12.8,,7.1,,9.9,,8.1,,0,,,,,,0,,,,22,,41,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/15/2020,2020,4,15,,16.8,,6.8,,11.8,,6.2,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/16/2020,2020,4,16,,17.3,,8.7,,13,,5,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/17/2020,2020,4,17,,12.4,,6.7,,9.6,,8.4,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/18/2020,2020,4,18,,13.3,,8.2,,10.7,,7.3,,0,,,,,,0,,,,24,,36,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/19/2020,2020,4,19,,12.4,,8.1,,10.2,,7.8,,0,,,,,,0,,,,24,,39,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/20/2020,2020,4,20,,15,,7.2,,11.1,,6.9,,0,,,,,,0,,,,25,,39,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/21/2020,2020,4,21,,12.4,,8.8,,10.6,,7.4,,0,,,,,,0,,,,26,,39,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/22/2020,2020,4,22,,10.4,,8.3,,9.3,,8.7,,0,,,,,,14.6,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/23/2020,2020,4,23,,14.6,,8.1,,11.4,,6.6,,0,,,,,,0.2,,,,26,,55,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/24/2020,2020,4,24,,14.6,,7.4,,11,,7,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/25/2020,2020,4,25,,14.9,,8.7,,11.8,,6.2,,0,,,,,,2.2,,,,27,,72,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/26/2020,2020,4,26,,13.8,,7.9,,10.8,,7.2,,0,,,,,,2.2,,,,27,,39,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/27/2020,2020,4,27,,15.1,,8,,11.5,,6.5,,0,,,,,,1.2,,,,27,,59,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/28/2020,2020,4,28,,12.4,,7.1,,9.8,,8.2,,0,,,,,,1,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/29/2020,2020,4,29,,16.5,,8.8,,12.7,,5.3,,0,,,,,,0,,,,28,,57,
-123.32,48.41,VICTORIA GONZALES CS,1018611,4/30/2020,2020,4,30,,14.2,,9.4,,11.8,,6.2,,0,,,,,,0,,,,27,,50,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/1/2020,2020,5,1,,15.6,,8.3,,12,,6,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/2/2020,2020,5,2,,13.8,,8.4,,11.1,,6.9,,0,,,,,,2.2,,,,27,,66,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/3/2020,2020,5,3,,11.6,,7.1,,9.4,,8.6,,0,,,,,,2.6,,,,26,,47,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/4/2020,2020,5,4,,15.3,,5.2,,10.3,,7.7,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/5/2020,2020,5,5,,19.1,,7.4,,13.2,,4.8,,0,,,,,,0,,,,30,,44,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/6/2020,2020,5,6,,15.3,,8.7,,12,,6,,0,,,,,,0,,,,25,,69,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/7/2020,2020,5,7,,18.3,,6.2,,12.3,,5.7,,0,,,,,,0,,,,2,,34,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/8/2020,2020,5,8,,24.7,,10.6,,17.6,,0.4,,0,,,,,,0,,,,2,,39,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/9/2020,2020,5,9,,26.8,,13.8,,20.3,,0,,2.3,,,,,,0,,,,2,,36,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/10/2020,2020,5,10,,27.8,,14.8,,21.3,,0,,3.3,,,,,,0,,,,36,,33,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/11/2020,2020,5,11,,18.9,,10.4,,14.7,,3.3,,0,,,,,,0.4,,,,27,,62,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/12/2020,2020,5,12,,18.1,,9.5,,13.8,,4.2,,0,,,,,,5.6,,,,24,,35,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/13/2020,2020,5,13,,16.4,,9.7,,13.1,,4.9,,0,,,,,,0.2,,,,28,,32,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/14/2020,2020,5,14,,14.8,,9.2,,12,,6,,0,,,,,,0,,,,25,,35,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/15/2020,2020,5,15,,16.1,,9.7,,12.9,,5.1,,0,,,,,,0,,,,25,,34,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/16/2020,2020,5,16,,13.8,,9.8,,11.8,,6.2,,0,,,,,,5.6,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/17/2020,2020,5,17,,14.8,,10.2,,12.5,,5.5,,0,,,,,,5,,,,24,,35,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/18/2020,2020,5,18,,16.1,,8.5,,12.3,,5.7,,0,,,,,,0,,,,27,,43,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/19/2020,2020,5,19,,17,,10.2,,13.6,,4.4,,0,,,,,,0,,,,26,,47,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/20/2020,2020,5,20,,16.6,,10.1,,13.4,,4.6,,0,,,,,,0,,,,28,,59,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/21/2020,2020,5,21,,14.3,,8.5,,11.4,,6.6,,0,,,,,,0,,,,26,,56,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/22/2020,2020,5,22,,16.9,,9.4,,13.2,,4.8,,0,,,,,,0,,,,26,,62,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/23/2020,2020,5,23,,15.2,,8.5,,11.8,,6.2,,0,,,,,,0,,,,27,,38,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/24/2020,2020,5,24,,14.9,,9.3,,12.1,,5.9,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/25/2020,2020,5,25,,14,,10.5,,12.2,,5.8,,0,,,,,,5.4,,,,23,,38,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/26/2020,2020,5,26,,16,,9.5,,12.8,,5.2,,0,,,,,,0,,,,26,,35,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/27/2020,2020,5,27,,22.6,,8.7,,15.6,,2.4,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/28/2020,2020,5,28,,26.1,,13.2,,19.6,,0,,1.6,,,,,,0,,,,36,,35,
-123.32,48.41,VICTORIA GONZALES CS,1018611,5/29/2020,2020,5,29,,19.8,,10.9,,15.3,,2.7,,0,,,,,,0,,,,26,,41,
